Strain	Condition	Fitness	Rep
N2	D	0.042228264	1
N2	D	-0.006194177	2
N2	D	0.121140888	3
N2	D	nan	4
N2	D	0.160296212	5
N2	D	-0.171473014	6
N2	D	-0.038593019	7
N2	D	0.029607458	8
N2	D	0.079418436	9
N2	D	-0.161192436	10
N2	A	-0.079923817	1
N2	A	0.067311134	2
N2	A	0.022364626	3
N2	A	nan	4
N2	A	-0.083540095	5
N2	A	-0.020745604	6
N2	A	-0.075169089	7
N2	A	-0.046360276	8
N2	A	0.103361058	9
N2	A	-0.023155227	10
882	D	nan	1
882	D	nan	2
882	D	-0.175859721	3
882	D	-0.098025011	4
882	D	-0.146451246	5
882	D	-0.022208993	6
882	D	-0.206152667	7
882	D	-0.155708154	8
882	D	-0.089322559	9
882	D	-0.049331659	10
882	A	-0.106593403	1
882	A	-0.420170373	2
882	A	nan	3
882	A	-1.211466801	4
882	A	-0.558698636	5
882	A	-0.673312225	6
882	A	-0.519094176	7
882	A	-0.715873619	8
882	A	0	9
882	A	-0.644216713	10
2795	D	-0.02447046	1
2795	D	0.007548166	2
2795	D	-0.067598227	3
2795	D	-0.050031438	4
2795	D	nan	5
2795	D	0.020906975	6
2795	D	-0.049665393	7
2795	D	-0.076582777	8
2795	D	nan	9
2795	D	nan	10
2795	A	-0.586138598	1
2795	A	-0.337506588	2
2795	A	-0.751978839	3
2795	A	-0.702209179	4
2795	A	nan	5
2795	A	-0.366962082	6
2795	A	nan	7
2795	A	-0.532648035	8
2795	A	-0.849827239	9
2795	A	nan	10
2798	D	nan	1
2798	D	-0.063667969	2
2798	D	-0.00229578	3
2798	D	0.095549282	4
2798	D	0.016380584	5
2798	D	-0.064629052	6
2798	D	nan	7
2798	D	nan	8
2798	D	nan	9
2798	D	-0.092528978	10
2798	A	-0.629736913	1
2798	A	-0.726543557	2
2798	A	nan	3
2798	A	-0.450830268	4
2798	A	-0.800301351	5
2798	A	-0.793721147	6
2798	A	-0.316026682	7
2798	A	-0.539853153	8
2798	A	nan	9
2798	A	-0.650376596	10
2801	D	-0.087252631	1
2801	D	nan	2
2801	D	0.094429816	3
2801	D	0.035238224	4
2801	D	-0.036242371	5
2801	D	nan	6
2801	D	nan	7
2801	D	-0.062401887	8
2801	D	0.187658171	9
2801	D	-0.035666027	10
2801	A	-0.514296374	1
2801	A	-0.802265517	2
2801	A	-0.680734062	3
2801	A	-0.604055832	4
2801	A	-0.322545765	5
2801	A	-0.461055964	6
2801	A	-0.425223984	7
2801	A	nan	8
2801	A	-0.643833393	9
2801	A	-0.659255291	10
2816	D	nan	1
2816	D	-0.09862817	2
2816	D	-0.06976332	3
2816	D	0.007695937	4
2816	D	0.060354121	5
2816	D	-0.051227344	6
2816	D	-0.051516267	7
2816	D	0.025707162	8
2816	D	0.196165517	9
2816	D	0.124500905	10
2816	A	-0.749261517	1
2816	A	nan	2
2816	A	-0.64821318	3
2816	A	-0.324413449	4
2816	A	-0.431846971	5
2816	A	-0.654870436	6
2816	A	-1.113086181	7
2816	A	-0.519125143	8
2816	A	-0.474788932	9
2816	A	nan	10
			
